"id","nome_campanha","data_inicio","data_fim","orcamento","publico_alvo","canais_divulgacao","tipo_campanha","taxa_conversao","impressoes"
1,"Campanha 1","2023-12-22","2023-12-24","1609.35","Publico Alvo 2","Google","Divulgação","25.16","7000000"
2,"Campanha 2","2023-05-10","2023-06-02","69950.09","Publico Alvo 3",NULL,NULL,"5.85","2000000"
3,"Campanha 3","2022-10-11","2022-10-15",NULL,"?","Google","Promocional","25.89","9000000"
4,"Campanha 4","2024-11-16","2024-12-01","58867.53","Publico Alvo 5","Sites de Notícias","Divulgação","28.96","7000000"
5,"Campanha 5","2024-11-15","2024-11-23","44455.50","Publico Alvo 1","Redes Sociais","Divulgação","23.23","7000000"
6,"Campanha 6","2025-05-10","2025-06-06",NULL,"Publico Alvo 2","Sites de Notícias","Mais Seguidores","0.31","10000000"
7,"Campanha 7","2024-03-23","2024-04-15",NULL,"Publico Alvo 3",NULL,NULL,"1.92","5000000"
8,"Campanha 8","2022-10-29","2022-11-07","72410.29","Publico Alvo 4","Google","Promocional","8.98","2000000"
9,"Campanha 9","2024-06-12","2024-06-20","971.55","Publico Alvo 5","Redes Sociais","Promocional","19.80","7000000"
10,"Campanha 10","2021-09-23","2021-10-11","91928.55","Publico Alvo 1","Redes Sociais","Mais Seguidores","22.09","5000000"
11,"Campanha 11","2024-12-01","2024-12-20","28496.50","Publico Alvo 2","Redes Sociais","Divulgação","12.57","2000000"
12,"Campanha 12","2025-04-04","2025-04-09","7234.28","Publico Alvo 3","Sites de Notícias","Mais Seguidores","7.86","1000000"
13,"Campanha 13","2022-10-25","2022-11-23","73885.40","Publico Alvo 4","Google","Mais Seguidores","5.62","3000000"
14,"Campanha 14","2022-11-27","2022-12-27","70154.22","Publico Alvo 5","Sites de Notícias","Divulgação","25.62","4000000"
15,"Campanha 15","2021-12-05","2021-12-18","60673.32","?","Redes Sociais","Mais Seguidores","15.82","7000000"
16,"Campanha 16","2023-05-23","2023-06-15","6430.30","Publico Alvo 2","Google","Divulgação","16.66","2000000"
17,"Campanha 17","2022-12-26","2023-01-14",NULL,"?","Redes Sociais","Mais Seguidores","3.54","9000000"
18,"Campanha 18","2022-07-01","2022-07-28","23856.65","Publico Alvo 4","Redes Sociais","Mais Seguidores","3.62","4000000"
19,"Campanha 19","2024-09-19","2024-10-09","65498.87","Publico Alvo 5","Sites de Notícias","Mais Seguidores","17.78","10000000"
20,"Campanha 20","2024-01-07","2024-02-02","35830.35","Publico Alvo 1",NULL,"Mais Seguidores","14.77","7000000"
21,"Campanha 21","2023-07-16","2023-08-01","92101.90","Publico Alvo 2","Google","Mais Seguidores","1.11","3000000"
22,"Campanha 22","2022-03-12","2022-03-14","39911.44","?","Sites de Notícias","Divulgação","7.74","4000000"
23,"Campanha 23","2023-05-23","2023-06-14","90494.17","?","Redes Sociais","Divulgação","12.68","2000000"
24,"Campanha 24","2024-10-30","2024-11-01","88892.78","Publico Alvo 5","Redes Sociais","Divulgação","22.97","9000000"
25,"Campanha 25","2021-09-05","2021-09-22","55848.01","Publico Alvo 1","Google",NULL,"28.86","2000000"
26,"Campanha 26","2025-01-31","2025-02-19","62105.18","?",NULL,"Divulgação","20.85","8000000"
27,"Campanha 27","2022-01-07","2022-01-09","60236.43","?","Redes Sociais","Mais Seguidores","6.98","1000000"
28,"Campanha 28","2022-02-26","2022-03-24","40548.34","Publico Alvo 4","Google","Promocional","17.34","4000000"
29,"Campanha 29","2023-05-26","2023-06-21","60994.79","Publico Alvo 5","Redes Sociais","Mais Seguidores","6.41","9000000"
30,"Campanha 30","2023-01-01","2023-01-13","32723.67","?","Google","Divulgação","3.61","1000000"
31,"Campanha 31","2021-12-19","2021-12-31",NULL,"?","Redes Sociais","Mais Seguidores","0.57","6000000"
32,"Campanha 32","2023-05-08","2023-05-20","72344.37","Publico Alvo 3","Sites de Notícias","Divulgação","25.62","10000000"
33,"Campanha 33","2025-03-03","2025-03-29","86316.57","Publico Alvo 4","Google","Mais Seguidores","21.33","9000000"
34,"Campanha 34","2023-07-29","2023-08-05","33996.71","Publico Alvo 5","Google","Promocional","20.56","8000000"
35,"Campanha 35","2024-07-05","2024-07-25","40087.19","Publico Alvo 1","Sites de Notícias","Mais Seguidores","20.58","2000000"
36,"Campanha 36","2022-01-08","2022-01-26",NULL,"Publico Alvo 2","Sites de Notícias","Mais Seguidores","8.78","8000000"
37,"Campanha 37","2023-04-30","2023-05-07","9560.12","Publico Alvo 3","Sites de Notícias","Promocional","9.19","5000000"
38,"Campanha 38","2022-02-09","2022-03-07","97009.43","Publico Alvo 4","Google","Promocional","2.34","7000000"
39,"Campanha 39","2025-04-30","2025-05-06","37272.20","Publico Alvo 5","Google","Mais Seguidores","29.70","4000000"
40,"Campanha 40","2021-10-30","2021-11-12","13638.58","Publico Alvo 1","Redes Sociais","Promocional","8.09","8000000"
41,"Campanha 41","2024-11-05","2024-11-26","98310.84","Publico Alvo 2","Sites de Notícias","Divulgação","14.15","7000000"
42,"Campanha 42","2025-02-16","2025-02-28","63389.80","Publico Alvo 3","Redes Sociais","Divulgação","18.24","3000000"
43,"Campanha 43","2022-05-28","2022-06-04",NULL,"Publico Alvo 4",NULL,"Divulgação","9.73","1000000"
44,"Campanha 44","2021-08-02","2021-09-01","84479.77","Publico Alvo 5","Sites de Notícias","Promocional","8.98","1000000"
45,"Campanha 45","2023-01-31","2023-02-07","62175.63","Publico Alvo 1","Redes Sociais","Mais Seguidores","17.42","2000000"
46,"Campanha 46","2022-01-12","2022-01-17",NULL,"Publico Alvo 2","Redes Sociais","Mais Seguidores","23.14","6000000"
47,"Campanha 47","2022-03-18","2022-03-31","19653.77","Publico Alvo 3","Google",NULL,"14.99","3000000"
48,"Campanha 48","2024-05-22","2024-06-21","41724.36","Publico Alvo 4","Google","Promocional","28.50","2000000"
49,"Campanha 49","2025-02-22","2025-02-24","54540.67","Publico Alvo 5","Google","Promocional","15.95","1000000"
50,"Campanha 50","2024-11-13","2024-11-19","72932.13","Publico Alvo 1","Google","Divulgação","9.22","5000000"
51,"Campanha 51","2022-02-16","2022-03-06","43614.09","Publico Alvo 2",NULL,"Promocional","13.81","5000000"
52,"Campanha 52","2023-04-07","2023-05-06","17968.64","Publico Alvo 3","Sites de Notícias","Mais Seguidores","6.87","6000000"
53,"Campanha 53","2021-07-10","2021-07-21","74931.69","Publico Alvo 4","Sites de Notícias","Mais Seguidores","6.13","5000000"
54,"Campanha 54","2022-04-27","2022-04-28","1015.42","Publico Alvo 5",NULL,"Promocional","23.34","1000000"
55,"Campanha 55","2024-09-03","2024-09-29","92475.12","Publico Alvo 1","Google","Mais Seguidores","24.47","3000000"
56,"Campanha 56","2025-04-29","2025-05-29","42016.31","Publico Alvo 2","Google","Promocional","20.46","10000000"
57,"Campanha 57","2023-09-20","2023-10-03","17850.95","Publico Alvo 3","Redes Sociais","Divulgação","22.68","9000000"
58,"Campanha 58","2022-06-07","2022-06-26",NULL,"Publico Alvo 4","Sites de Notícias","Mais Seguidores","10.36","3000000"
59,"Campanha 59","2023-10-09","2023-10-10","70484.99","Publico Alvo 5","Redes Sociais","Divulgação","28.40","4000000"
60,"Campanha 60","2024-01-27","2024-02-18","46766.02","Publico Alvo 1","Sites de Notícias","Promocional","26.93","6000000"
61,"Campanha 61","2025-05-21","2025-06-18","9314.70","Publico Alvo 2","Sites de Notícias",NULL,"8.32","10000000"
62,"Campanha 62","2024-03-05","2024-03-06","5330.70","?",NULL,NULL,"16.31","4000000"
63,"Campanha 63","2025-01-29","2025-01-31","64738.45","Publico Alvo 4","Google","Promocional","26.70","5000000"
64,"Campanha 64","2021-08-16","2021-09-14","95475.60","Publico Alvo 5","Google","Promocional","29.91","9000000"
65,"Campanha 65","2023-08-02","2023-08-10","90954.34","Publico Alvo 1","Redes Sociais","Divulgação","16.55","5000000"
66,"Campanha 66","2021-08-23","2021-09-14","6328.81","Publico Alvo 2","Sites de Notícias","Mais Seguidores","16.51","8000000"
67,"Campanha 67","2024-06-13","2024-06-21","60601.75","Publico Alvo 3","Google","Mais Seguidores","9.18","10000000"
68,"Campanha 68","2025-01-03","2025-01-10","33087.62","Publico Alvo 4",NULL,"Promocional","4.19","3000000"
69,"Campanha 69","2023-03-17","2023-03-20","62669.23","Publico Alvo 5","Google",NULL,"2.83","8000000"
70,"Campanha 70","2024-07-04","2024-07-17","64182.79","Publico Alvo 1","Sites de Notícias","Divulgação","26.92","2000000"
71,"Campanha 71","2024-05-17","2024-06-10",NULL,"Publico Alvo 2","Sites de Notícias","Divulgação","12.20","5000000"
72,"Campanha 72","2023-02-15","2023-03-12","59555.23","Publico Alvo 3",NULL,"Mais Seguidores","16.02","6000000"
73,"Campanha 73","2021-06-04","2021-06-23","53294.12","Publico Alvo 4","Sites de Notícias",NULL,"17.33","6000000"
74,"Campanha 74","2021-08-06","2021-08-09","55643.60","?","Sites de Notícias","Mais Seguidores","4.95","4000000"
75,"Campanha 75","2022-07-29","2022-08-20","76018.78","Publico Alvo 1","Sites de Notícias","Mais Seguidores","2.73","4000000"
76,"Campanha 76","2023-12-15","2024-01-11",NULL,"Publico Alvo 2","Sites de Notícias","Promocional","17.57","6000000"
77,"Campanha 77","2021-05-27","2021-06-15","21712.44","Publico Alvo 3","Google","Divulgação","7.26","3000000"
78,"Campanha 78","2023-07-23","2023-08-13",NULL,"Publico Alvo 4",NULL,"Divulgação","23.51","9000000"
79,"Campanha 79","2022-04-19","2022-04-20","8589.78","Publico Alvo 5","Google","Divulgação","8.43","2000000"
80,"Campanha 80","2022-08-23","2022-09-02",NULL,"Publico Alvo 1","Redes Sociais","Divulgação","1.18","1000000"
81,"Campanha 81","2021-11-27","2021-11-29","57070.07","Publico Alvo 2","Sites de Notícias","Divulgação","0.87","5000000"
82,"Campanha 82","2023-11-20","2023-12-04","47881.05","Publico Alvo 3",NULL,"Promocional","9.46","3000000"
83,"Campanha 83","2021-11-01","2021-11-28","55766.05","Publico Alvo 4","Google",NULL,"26.74","9000000"
84,"Campanha 84","2022-08-31","2022-09-15","61382.15","Publico Alvo 5","Sites de Notícias","Promocional","14.36","2000000"
85,"Campanha 85","2021-07-21","2021-08-05","91438.48","Publico Alvo 1","Redes Sociais","Mais Seguidores","8.90","3000000"
86,"Campanha 86","2022-02-07","2022-02-21","84816.55","Publico Alvo 2",NULL,NULL,"19.44","8000000"
87,"Campanha 87","2022-03-09","2022-03-16","7283.26","Publico Alvo 3","Sites de Notícias","Mais Seguidores","0.05","7000000"
88,"Campanha 88","2024-01-21","2024-02-19","29194.25","Publico Alvo 4","Sites de Notícias","Mais Seguidores","6.35","10000000"
89,"Campanha 89","2025-04-19","2025-05-01","8481.63","Publico Alvo 5","Redes Sociais","Promocional","3.05","3000000"
90,"Campanha 90","2024-06-06","2024-06-15","43120.28","Publico Alvo 1","Redes Sociais","Divulgação","8.39","6000000"
91,"Campanha 91","2023-09-20","2023-10-06","62640.96","Publico Alvo 2","Redes Sociais","Promocional","15.11","8000000"
92,"Campanha 92","2025-01-16","2025-01-29","37491.58","Publico Alvo 3",NULL,"Promocional","19.12","3000000"
93,"Campanha 93","2023-01-04","2023-01-15",NULL,"Publico Alvo 4",NULL,"Divulgação","3.62","6000000"
94,"Campanha 94","2023-09-21","2023-10-14","67221.81","Publico Alvo 5",NULL,"Mais Seguidores","2.33","2000000"
95,"Campanha 95","2021-11-22","2021-11-26","63813.96","Publico Alvo 1","Redes Sociais","Divulgação","20.92","10000000"
96,"Campanha 96","2022-06-02","2022-06-07","89816.94","?","Google","Promocional","9.15","4000000"
97,"Campanha 97","2021-06-08","2021-06-21","40053.09","Publico Alvo 3","Google","Promocional","19.57","10000000"
98,"Campanha 98","2021-11-19","2021-11-26",NULL,"Publico Alvo 4","Sites de Notícias","Promocional","10.09","3000000"
99,"Campanha 99","2023-08-07","2023-08-16","81627.15","Publico Alvo 5","Sites de Notícias",NULL,"0.99","2000000"
100,"Campanha 100","2024-07-20","2024-07-28","44516.88","?","Google","Promocional","4.87","8000000"
101,"Campanha 101","2023-08-09","2023-08-16","57668.91","Publico Alvo 2","Google","Mais Seguidores","4.59","9000000"
102,"Campanha 102","2024-01-26","2024-01-29","24179.35","Publico Alvo 3","Sites de Notícias","Mais Seguidores","13.99","4000000"
103,"Campanha 103","2022-09-13","2022-09-26","8202.38","Publico Alvo 4","Google","Mais Seguidores","21.60","2000000"
104,"Campanha 104","2024-01-03","2024-01-18","37899.18","Publico Alvo 5","Redes Sociais","Promocional","7.29","3000000"
105,"Campanha 105","2022-03-16","2022-03-21",NULL,"?","Google","Promocional","7.28","6000000"
106,"Campanha 106","2024-03-01","2024-03-05",NULL,"Publico Alvo 2",NULL,"Mais Seguidores","5.66","9000000"
107,"Campanha 107","2023-12-15","2023-12-30","19561.34","?","Sites de Notícias","Promocional","7.27","10000000"
108,"Campanha 108","2022-08-31","2022-09-16","31220.25","Publico Alvo 4","Google","Divulgação","12.10","4000000"
109,"Campanha 109","2021-10-03","2021-10-22",NULL,"Publico Alvo 5","Sites de Notícias","Mais Seguidores","3.94","2000000"
110,"Campanha 110","2024-08-24","2024-09-21","18729.27","?","Sites de Notícias",NULL,"0.73","3000000"
