"id","nome_campanha","data_inicio","data_fim","orcamento","publico_alvo","canais_divulgacao","tipo_campanha","taxa_conversao","impressoes"
1,"Campanha 1","2023-12-22","2023-12-24","1609.35","Publico Alvo 2","Google","Divulgação","25.16","7000000"
2,"Campanha 2","2023-05-10","2023-06-02","69950.09","Publico Alvo 3","não especificado","não especificado","5.85","2000000"
4,"Campanha 4","2024-11-16","2024-12-01","58867.53","Publico Alvo 5","Sites de Notícias","Divulgação","28.96","7000000"
5,"Campanha 5","2024-11-15","2024-11-23","44455.50","Publico Alvo 1","Redes Sociais","Divulgação","23.23","7000000"
8,"Campanha 8","2022-10-29","2022-11-07","72410.29","Publico Alvo 4","Google","Promocional","8.98","2000000"
9,"Campanha 9","2024-06-12","2024-06-20","971.55","Publico Alvo 5","Redes Sociais","Promocional","19.80","7000000"
10,"Campanha 10","2021-09-23","2021-10-11","91928.55","Publico Alvo 1","Redes Sociais","Mais Seguidores","22.09","5000000"
11,"Campanha 11","2024-12-01","2024-12-20","28496.50","Publico Alvo 2","Redes Sociais","Divulgação","12.57","2000000"
12,"Campanha 12","2025-04-04","2025-04-09","7234.28","Publico Alvo 3","Sites de Notícias","Mais Seguidores","7.86","1000000"
13,"Campanha 13","2022-10-25","2022-11-23","73885.40","Publico Alvo 4","Google","Mais Seguidores","5.62","3000000"
14,"Campanha 14","2022-11-27","2022-12-27","70154.22","Publico Alvo 5","Sites de Notícias","Divulgação","25.62","4000000"
16,"Campanha 16","2023-05-23","2023-06-15","6430.30","Publico Alvo 2","Google","Divulgação","16.66","2000000"
18,"Campanha 18","2022-07-01","2022-07-28","23856.65","Publico Alvo 4","Redes Sociais","Mais Seguidores","3.62","4000000"
19,"Campanha 19","2024-09-19","2024-10-09","65498.87","Publico Alvo 5","Sites de Notícias","Mais Seguidores","17.78","10000000"
20,"Campanha 20","2024-01-07","2024-02-02","35830.35","Publico Alvo 1","não especificado","Mais Seguidores","14.77","7000000"
21,"Campanha 21","2023-07-16","2023-08-01","92101.90","Publico Alvo 2","Google","Mais Seguidores","1.11","3000000"
24,"Campanha 24","2024-10-30","2024-11-01","88892.78","Publico Alvo 5","Redes Sociais","Divulgação","22.97","9000000"
25,"Campanha 25","2021-09-05","2021-09-22","55848.01","Publico Alvo 1","Google","não especificado","28.86","2000000"
28,"Campanha 28","2022-02-26","2022-03-24","40548.34","Publico Alvo 4","Google","Promocional","17.34","4000000"
29,"Campanha 29","2023-05-26","2023-06-21","60994.79","Publico Alvo 5","Redes Sociais","Mais Seguidores","6.41","9000000"
32,"Campanha 32","2023-05-08","2023-05-20","72344.37","Publico Alvo 3","Sites de Notícias","Divulgação","25.62","10000000"
33,"Campanha 33","2025-03-03","2025-03-29","86316.57","Publico Alvo 4","Google","Mais Seguidores","21.33","9000000"
34,"Campanha 34","2023-07-29","2023-08-05","33996.71","Publico Alvo 5","Google","Promocional","20.56","8000000"
35,"Campanha 35","2024-07-05","2024-07-25","40087.19","Publico Alvo 1","Sites de Notícias","Mais Seguidores","20.58","2000000"
37,"Campanha 37","2023-04-30","2023-05-07","9560.12","Publico Alvo 3","Sites de Notícias","Promocional","9.19","5000000"
38,"Campanha 38","2022-02-09","2022-03-07","97009.43","Publico Alvo 4","Google","Promocional","2.34","7000000"
39,"Campanha 39","2025-04-30","2025-05-06","37272.20","Publico Alvo 5","Google","Mais Seguidores","29.70","4000000"
40,"Campanha 40","2021-10-30","2021-11-12","13638.58","Publico Alvo 1","Redes Sociais","Promocional","8.09","8000000"
41,"Campanha 41","2024-11-05","2024-11-26","98310.84","Publico Alvo 2","Sites de Notícias","Divulgação","14.15","7000000"
42,"Campanha 42","2025-02-16","2025-02-28","63389.80","Publico Alvo 3","Redes Sociais","Divulgação","18.24","3000000"
44,"Campanha 44","2021-08-02","2021-09-01","84479.77","Publico Alvo 5","Sites de Notícias","Promocional","8.98","1000000"
45,"Campanha 45","2023-01-31","2023-02-07","62175.63","Publico Alvo 1","Redes Sociais","Mais Seguidores","17.42","2000000"
47,"Campanha 47","2022-03-18","2022-03-31","19653.77","Publico Alvo 3","Google","não especificado","14.99","3000000"
48,"Campanha 48","2024-05-22","2024-06-21","41724.36","Publico Alvo 4","Google","Promocional","28.50","2000000"
49,"Campanha 49","2025-02-22","2025-02-24","54540.67","Publico Alvo 5","Google","Promocional","15.95","1000000"
50,"Campanha 50","2024-11-13","2024-11-19","72932.13","Publico Alvo 1","Google","Divulgação","9.22","5000000"
51,"Campanha 51","2022-02-16","2022-03-06","43614.09","Publico Alvo 2","não especificado","Promocional","13.81","5000000"
52,"Campanha 52","2023-04-07","2023-05-06","17968.64","Publico Alvo 3","Sites de Notícias","Mais Seguidores","6.87","6000000"
53,"Campanha 53","2021-07-10","2021-07-21","74931.69","Publico Alvo 4","Sites de Notícias","Mais Seguidores","6.13","5000000"
54,"Campanha 54","2022-04-27","2022-04-28","1015.42","Publico Alvo 5","não especificado","Promocional","23.34","1000000"
55,"Campanha 55","2024-09-03","2024-09-29","92475.12","Publico Alvo 1","Google","Mais Seguidores","24.47","3000000"
56,"Campanha 56","2025-04-29","2025-05-29","42016.31","Publico Alvo 2","Google","Promocional","20.46","10000000"
57,"Campanha 57","2023-09-20","2023-10-03","17850.95","Publico Alvo 3","Redes Sociais","Divulgação","22.68","9000000"
59,"Campanha 59","2023-10-09","2023-10-10","70484.99","Publico Alvo 5","Redes Sociais","Divulgação","28.40","4000000"
60,"Campanha 60","2024-01-27","2024-02-18","46766.02","Publico Alvo 1","Sites de Notícias","Promocional","26.93","6000000"
61,"Campanha 61","2025-05-21","2025-06-18","9314.70","Publico Alvo 2","Sites de Notícias","não especificado","8.32","10000000"
63,"Campanha 63","2025-01-29","2025-01-31","64738.45","Publico Alvo 4","Google","Promocional","26.70","5000000"
64,"Campanha 64","2021-08-16","2021-09-14","95475.60","Publico Alvo 5","Google","Promocional","29.91","9000000"
65,"Campanha 65","2023-08-02","2023-08-10","90954.34","Publico Alvo 1","Redes Sociais","Divulgação","16.55","5000000"
66,"Campanha 66","2021-08-23","2021-09-14","6328.81","Publico Alvo 2","Sites de Notícias","Mais Seguidores","16.51","8000000"
67,"Campanha 67","2024-06-13","2024-06-21","60601.75","Publico Alvo 3","Google","Mais Seguidores","9.18","10000000"
68,"Campanha 68","2025-01-03","2025-01-10","33087.62","Publico Alvo 4","não especificado","Promocional","4.19","3000000"
69,"Campanha 69","2023-03-17","2023-03-20","62669.23","Publico Alvo 5","Google","não especificado","2.83","8000000"
70,"Campanha 70","2024-07-04","2024-07-17","64182.79","Publico Alvo 1","Sites de Notícias","Divulgação","26.92","2000000"
72,"Campanha 72","2023-02-15","2023-03-12","59555.23","Publico Alvo 3","não especificado","Mais Seguidores","16.02","6000000"
73,"Campanha 73","2021-06-04","2021-06-23","53294.12","Publico Alvo 4","Sites de Notícias","não especificado","17.33","6000000"
75,"Campanha 75","2022-07-29","2022-08-20","76018.78","Publico Alvo 1","Sites de Notícias","Mais Seguidores","2.73","4000000"
77,"Campanha 77","2021-05-27","2021-06-15","21712.44","Publico Alvo 3","Google","Divulgação","7.26","3000000"
79,"Campanha 79","2022-04-19","2022-04-20","8589.78","Publico Alvo 5","Google","Divulgação","8.43","2000000"
81,"Campanha 81","2021-11-27","2021-11-29","57070.07","Publico Alvo 2","Sites de Notícias","Divulgação","0.87","5000000"
82,"Campanha 82","2023-11-20","2023-12-04","47881.05","Publico Alvo 3","não especificado","Promocional","9.46","3000000"
83,"Campanha 83","2021-11-01","2021-11-28","55766.05","Publico Alvo 4","Google","não especificado","26.74","9000000"
84,"Campanha 84","2022-08-31","2022-09-15","61382.15","Publico Alvo 5","Sites de Notícias","Promocional","14.36","2000000"
85,"Campanha 85","2021-07-21","2021-08-05","91438.48","Publico Alvo 1","Redes Sociais","Mais Seguidores","8.90","3000000"
86,"Campanha 86","2022-02-07","2022-02-21","84816.55","Publico Alvo 2","não especificado","não especificado","19.44","8000000"
87,"Campanha 87","2022-03-09","2022-03-16","7283.26","Publico Alvo 3","Sites de Notícias","Mais Seguidores","0.05","7000000"
88,"Campanha 88","2024-01-21","2024-02-19","29194.25","Publico Alvo 4","Sites de Notícias","Mais Seguidores","6.35","10000000"
89,"Campanha 89","2025-04-19","2025-05-01","8481.63","Publico Alvo 5","Redes Sociais","Promocional","3.05","3000000"
90,"Campanha 90","2024-06-06","2024-06-15","43120.28","Publico Alvo 1","Redes Sociais","Divulgação","8.39","6000000"
91,"Campanha 91","2023-09-20","2023-10-06","62640.96","Publico Alvo 2","Redes Sociais","Promocional","15.11","8000000"
92,"Campanha 92","2025-01-16","2025-01-29","37491.58","Publico Alvo 3","não especificado","Promocional","19.12","3000000"
94,"Campanha 94","2023-09-21","2023-10-14","67221.81","Publico Alvo 5","não especificado","Mais Seguidores","2.33","2000000"
95,"Campanha 95","2021-11-22","2021-11-26","63813.96","Publico Alvo 1","Redes Sociais","Divulgação","20.92","10000000"
97,"Campanha 97","2021-06-08","2021-06-21","40053.09","Publico Alvo 3","Google","Promocional","19.57","10000000"
99,"Campanha 99","2023-08-07","2023-08-16","81627.15","Publico Alvo 5","Sites de Notícias","não especificado","0.99","2000000"
101,"Campanha 101","2023-08-09","2023-08-16","57668.91","Publico Alvo 2","Google","Mais Seguidores","4.59","9000000"
102,"Campanha 102","2024-01-26","2024-01-29","24179.35","Publico Alvo 3","Sites de Notícias","Mais Seguidores","13.99","4000000"
103,"Campanha 103","2022-09-13","2022-09-26","8202.38","Publico Alvo 4","Google","Mais Seguidores","21.60","2000000"
104,"Campanha 104","2024-01-03","2024-01-18","37899.18","Publico Alvo 5","Redes Sociais","Promocional","7.29","3000000"
108,"Campanha 108","2022-08-31","2022-09-16","31220.25","Publico Alvo 4","Google","Divulgação","12.10","4000000"
111,"Campanha 111","2022-05-03","2022-05-12","41541.09","Publico Alvo 2","Google","não especificado","28.04","7000000"
114,"Campanha 114","2023-04-28","2023-05-07","79946.69","Publico Alvo 5","Google","Divulgação","27.07","6000000"
117,"Campanha 117","2024-05-24","2024-06-23","87342.03","Publico Alvo 3","Sites de Notícias","Promocional","22.61","10000000"
118,"Campanha 118","2021-10-21","2021-11-03","37116.21","Publico Alvo 4","não especificado","Mais Seguidores","25.57","2000000"
120,"Campanha 120","2023-08-23","2023-09-12","23562.21","Publico Alvo 1","Google","Divulgação","13.61","6000000"
121,"Campanha 121","2025-04-08","2025-05-06","11050.91","Publico Alvo 2","Google","Divulgação","11.56","4000000"
123,"Campanha 123","2023-12-11","2023-12-13","18969.86","Publico Alvo 4","Google","Divulgação","15.16","6000000"
124,"Campanha 124","2023-01-28","2023-02-10","31128.37","Publico Alvo 5","Redes Sociais","não especificado","9.79","4000000"
125,"Campanha 125","2023-08-04","2023-08-31","56260.60","Publico Alvo 1","Sites de Notícias","não especificado","20.33","10000000"
126,"Campanha 126","2024-01-02","2024-01-10","61270.36","Publico Alvo 2","Google","Promocional","12.98","5000000"
127,"Campanha 127","2021-07-28","2021-08-20","71579.05","Publico Alvo 3","Google","Divulgação","28.42","4000000"
129,"Campanha 129","2024-12-18","2025-01-09","7407.22","Publico Alvo 5","Redes Sociais","Mais Seguidores","14.59","5000000"
131,"Campanha 131","2024-02-06","2024-02-18","61876.09","Publico Alvo 2","Google","Promocional","6.33","10000000"
132,"Campanha 132","2023-07-06","2023-07-12","55066.93","Publico Alvo 3","Redes Sociais","não especificado","9.98","3000000"
134,"Campanha 134","2022-10-22","2022-11-05","71438.89","Publico Alvo 5","Google","Divulgação","20.48","7000000"
135,"Campanha 135","2021-11-23","2021-12-19","43507.26","Publico Alvo 1","Google","Promocional","26.23","3000000"
137,"Campanha 137","2022-02-16","2022-02-19","70139.95","Publico Alvo 3","Redes Sociais","Mais Seguidores","2.24","9000000"
138,"Campanha 138","2023-10-30","2023-11-09","1735.68","Publico Alvo 4","Google","Divulgação","1.14","4000000"
139,"Campanha 139","2021-08-06","2021-08-17","24364.99","Publico Alvo 5","Redes Sociais","Promocional","1.71","6000000"
140,"Campanha 140","2021-12-20","2022-01-04","67551.68","Publico Alvo 1","não especificado","Divulgação","16.33","3000000"
142,"Campanha 142","2023-02-24","2023-03-21","8256.79","Publico Alvo 3","Redes Sociais","Promocional","4.92","3000000"
144,"Campanha 144","2023-09-12","2023-10-12","99678.69","Publico Alvo 5","Redes Sociais","não especificado","29.36","8000000"
145,"Campanha 145","2022-10-11","2022-10-27","35058.85","Publico Alvo 1","Sites de Notícias","Divulgação","0.93","3000000"
146,"Campanha 146","2023-01-20","2023-01-24","72360.15","Publico Alvo 2","Google","Mais Seguidores","2.26","4000000"
147,"Campanha 147","2022-01-02","2022-02-01","9335.53","Publico Alvo 3","Redes Sociais","não especificado","4.38","1000000"
149,"Campanha 149","2024-02-20","2024-02-21","52429.67","Publico Alvo 5","Sites de Notícias","Promocional","6.34","6000000"
150,"Campanha 150","2024-03-11","2024-03-28","64194.16","Publico Alvo 1","não especificado","Divulgação","26.98","9000000"
151,"Campanha 151","2025-03-06","2025-03-27","69697.20","Publico Alvo 2","Sites de Notícias","Promocional","13.20","9000000"
152,"Campanha 152","2024-11-09","2024-11-11","35623.41","Publico Alvo 3","Google","Divulgação","24.54","1000000"
154,"Campanha 154","2023-08-03","2023-08-14","74260.68","Publico Alvo 5","Google","Divulgação","10.89","5000000"
155,"Campanha 155","2024-08-09","2024-09-04","89557.25","Publico Alvo 1","Sites de Notícias","Mais Seguidores","18.40","1000000"
159,"Campanha 159","2022-09-15","2022-10-03","9755.44","Publico Alvo 5","Redes Sociais","não especificado","7.28","8000000"
164,"Campanha 164","2023-05-27","2023-06-24","22650.37","Publico Alvo 5","Redes Sociais","Divulgação","6.05","5000000"
165,"Campanha 165","2025-05-14","2025-05-25","68250.06","Publico Alvo 1","Redes Sociais","não especificado","7.61","10000000"
166,"Campanha 166","2024-07-29","2024-08-03","96660.51","Publico Alvo 2","Google","Mais Seguidores","9.77","7000000"
167,"Campanha 167","2021-08-30","2021-09-28","77535.44","Publico Alvo 3","Sites de Notícias","Promocional","16.30","8000000"
170,"Campanha 170","2024-12-02","2024-12-07","90731.87","Publico Alvo 1","não especificado","Promocional","26.04","10000000"
172,"Campanha 172","2021-08-18","2021-08-30","44645.98","Publico Alvo 3","Google","não especificado","4.85","7000000"
173,"Campanha 173","2023-10-04","2023-10-13","88405.60","Publico Alvo 4","Sites de Notícias","Divulgação","18.13","5000000"
178,"Campanha 178","2022-11-11","2022-12-10","25914.66","Publico Alvo 4","Redes Sociais","Mais Seguidores","22.70","8000000"
179,"Campanha 179","2023-02-07","2023-02-27","12854.15","Publico Alvo 5","Sites de Notícias","Promocional","18.55","3000000"
180,"Campanha 180","2025-01-15","2025-02-02","87984.46","Publico Alvo 1","Redes Sociais","não especificado","7.00","6000000"
181,"Campanha 181","2023-06-26","2023-07-22","20305.25","Publico Alvo 2","Sites de Notícias","Mais Seguidores","3.27","10000000"
182,"Campanha 182","2023-10-22","2023-11-15","90894.44","Publico Alvo 3","Sites de Notícias","não especificado","20.99","10000000"
183,"Campanha 183","2025-05-19","2025-05-26","8656.61","Publico Alvo 4","Redes Sociais","Promocional","23.14","5000000"
184,"Campanha 184","2021-12-03","2021-12-28","62601.41","Publico Alvo 5","Sites de Notícias","Promocional","25.70","4000000"
186,"Campanha 186","2024-12-19","2025-01-03","95236.45","Publico Alvo 2","Google","Mais Seguidores","25.21","1000000"
187,"Campanha 187","2024-01-12","2024-02-11","79961.25","Publico Alvo 3","Google","Mais Seguidores","20.09","1000000"
188,"Campanha 188","2024-01-10","2024-01-19","31761.90","Publico Alvo 4","não especificado","Promocional","9.31","8000000"
190,"Campanha 190","2024-11-30","2024-12-24","76379.45","Publico Alvo 1","Google","Mais Seguidores","14.17","4000000"
192,"Campanha 192","2024-02-12","2024-03-13","14116.44","Publico Alvo 3","Sites de Notícias","Promocional","25.46","5000000"
193,"Campanha 193","2024-12-27","2025-01-02","50154.10","Publico Alvo 4","Sites de Notícias","não especificado","2.65","6000000"
196,"Campanha 196","2021-06-26","2021-07-06","20670.70","Publico Alvo 2","Redes Sociais","não especificado","23.26","9000000"
197,"Campanha 197","2024-06-06","2024-06-27","94612.63","Publico Alvo 3","Google","não especificado","29.12","1000000"
198,"Campanha 198","2022-02-02","2022-02-23","59025.91","Publico Alvo 4","Sites de Notícias","Divulgação","6.57","3000000"
201,"Campanha 201","2025-03-17","2025-03-28","36796.48","Publico Alvo 2","Redes Sociais","não especificado","2.37","3000000"
203,"Campanha 203","2022-10-30","2022-11-06","22006.28","Publico Alvo 4","Google","não especificado","27.68","1000000"
204,"Campanha 204","2021-11-26","2021-12-16","10354.82","Publico Alvo 5","Redes Sociais","Divulgação","21.67","5000000"
208,"Campanha 208","2024-10-28","2024-11-25","42704.27","Publico Alvo 4","Redes Sociais","não especificado","7.17","5000000"
209,"Campanha 209","2024-08-19","2024-08-22","95785.79","Publico Alvo 5","não especificado","Promocional","4.70","6000000"
210,"Campanha 210","2023-03-10","2023-04-03","57930.86","Publico Alvo 1","Sites de Notícias","Mais Seguidores","21.98","10000000"
213,"Campanha 213","2023-10-12","2023-11-06","35677.51","Publico Alvo 4","Google","Mais Seguidores","6.55","1000000"
214,"Campanha 214","2024-06-01","2024-06-08","55846.46","Publico Alvo 5","Redes Sociais","Divulgação","4.70","2000000"
215,"Campanha 215","2024-04-04","2024-04-20","85576.92","Publico Alvo 1","Redes Sociais","não especificado","25.61","3000000"
216,"Campanha 216","2022-12-15","2022-12-23","26136.31","Publico Alvo 2","Redes Sociais","não especificado","0.24","6000000"
217,"Campanha 217","2024-02-26","2024-03-10","54681.54","Publico Alvo 3","Sites de Notícias","Mais Seguidores","15.13","8000000"
218,"Campanha 218","2022-01-11","2022-01-23","52614.04","Publico Alvo 4","Sites de Notícias","Promocional","18.58","7000000"
220,"Campanha 220","2021-09-27","2021-10-12","43886.97","Publico Alvo 1","Redes Sociais","Divulgação","1.84","2000000"
221,"Campanha 221","2021-11-01","2021-11-15","9667.04","Publico Alvo 2","Google","Divulgação","4.08","7000000"
224,"Campanha 224","2024-12-28","2025-01-19","56449.38","Publico Alvo 5","não especificado","Divulgação","24.25","9000000"
227,"Campanha 227","2023-11-15","2023-11-29","43438.15","Publico Alvo 3","Sites de Notícias","Promocional","13.83","7000000"
230,"Campanha 230","2024-01-23","2024-01-29","64600.92","Publico Alvo 1","Redes Sociais","Promocional","25.15","1000000"
232,"Campanha 232","2023-03-07","2023-03-16","13382.97","Publico Alvo 3","Google","Divulgação","27.82","1000000"
233,"Campanha 233","2024-04-15","2024-04-24","14369.42","Publico Alvo 4","não especificado","Mais Seguidores","26.20","9000000"
234,"Campanha 234","2023-08-11","2023-08-27","87902.07","Publico Alvo 5","Sites de Notícias","Promocional","11.25","3000000"
235,"Campanha 235","2023-12-20","2023-12-26","33784.91","Publico Alvo 1","Google","Promocional","4.64","9000000"
236,"Campanha 236","2025-01-13","2025-01-14","33345.09","Publico Alvo 2","não especificado","não especificado","5.07","2000000"
238,"Campanha 238","2022-10-15","2022-10-20","26836.57","Publico Alvo 4","Google","Divulgação","17.91","5000000"
239,"Campanha 239","2024-06-20","2024-07-06","77626.70","Publico Alvo 5","Google","Divulgação","11.43","2000000"
240,"Campanha 240","2021-10-22","2021-11-02","47061.40","Publico Alvo 1","Sites de Notícias","não especificado","19.65","1000000"
241,"Campanha 241","2021-09-19","2021-10-19","82286.41","Publico Alvo 2","Redes Sociais","Divulgação","29.82","9000000"
243,"Campanha 243","2022-09-04","2022-09-08","96806.47","Publico Alvo 4","Redes Sociais","Promocional","11.53","6000000"
244,"Campanha 244","2024-10-11","2024-10-21","68734.90","Publico Alvo 5","Sites de Notícias","Divulgação","1.05","4000000"
245,"Campanha 245","2023-12-12","2024-01-03","56155.46","Publico Alvo 1","Redes Sociais","Mais Seguidores","12.35","1000000"
246,"Campanha 246","2023-06-04","2023-06-12","56263.42","Publico Alvo 2","Redes Sociais","Mais Seguidores","12.50","1000000"
248,"Campanha 248","2023-10-30","2023-11-04","6387.82","Publico Alvo 4","Sites de Notícias","Mais Seguidores","8.81","8000000"
249,"Campanha 249","2021-09-23","2021-10-17","96356.81","Publico Alvo 5","Redes Sociais","Divulgação","0.00","5000000"
250,"Campanha 250","2024-01-04","2024-01-13","82222.90","Publico Alvo 1","Google","Mais Seguidores","26.29","5000000"
252,"Campanha 252","2022-02-03","2022-02-23","23761.43","Publico Alvo 3","não especificado","Promocional","10.76","7000000"
254,"Campanha 254","2025-05-05","2025-05-18","8257.55","Publico Alvo 5","Redes Sociais","Divulgação","1.48","8000000"
255,"Campanha 255","2025-01-13","2025-01-22","52715.44","Publico Alvo 1","Sites de Notícias","não especificado","14.44","4000000"
256,"Campanha 256","2023-04-13","2023-05-06","90661.03","Publico Alvo 2","Redes Sociais","Promocional","17.41","3000000"
257,"Campanha 257","2022-03-04","2022-04-03","33525.93","Publico Alvo 3","Redes Sociais","Mais Seguidores","13.90","10000000"
258,"Campanha 258","2022-01-25","2022-01-28","91117.84","Publico Alvo 4","Google","Mais Seguidores","11.43","2000000"
259,"Campanha 259","2024-02-01","2024-02-22","93078.64","Publico Alvo 5","Google","Divulgação","29.60","4000000"
260,"Campanha 260","2023-07-03","2023-07-19","48825.83","Publico Alvo 1","não especificado","Promocional","6.16","2000000"
261,"Campanha 261","2025-05-10","2025-06-08","24720.30","Publico Alvo 2","Redes Sociais","Mais Seguidores","17.84","2000000"
266,"Campanha 266","2022-08-01","2022-08-25","95912.95","Publico Alvo 2","Redes Sociais","Promocional","10.41","1000000"
268,"Campanha 268","2023-10-14","2023-10-22","29186.82","Publico Alvo 4","Google","Promocional","7.28","5000000"
271,"Campanha 271","2023-02-13","2023-03-03","47941.13","Publico Alvo 2","Redes Sociais","Promocional","14.41","4000000"
272,"Campanha 272","2024-01-05","2024-01-26","61304.68","Publico Alvo 3","não especificado","não especificado","1.24","1000000"
273,"Campanha 273","2023-08-06","2023-08-21","90817.36","Publico Alvo 4","não especificado","Divulgação","13.15","2000000"
274,"Campanha 274","2024-12-05","2024-12-21","81587.06","Publico Alvo 5","Google","Divulgação","17.72","3000000"
275,"Campanha 275","2023-08-05","2023-08-10","65502.84","Publico Alvo 1","não especificado","Promocional","0.90","2000000"
276,"Campanha 276","2024-06-03","2024-06-06","80496.88","Publico Alvo 2","Sites de Notícias","Divulgação","5.78","4000000"
278,"Campanha 278","2021-10-13","2021-11-02","33832.18","Publico Alvo 4","Google","Divulgação","1.10","4000000"
279,"Campanha 279","2022-07-18","2022-07-20","12877.47","Publico Alvo 5","Sites de Notícias","Divulgação","10.37","2000000"
280,"Campanha 280","2022-05-28","2022-06-16","57742.44","Publico Alvo 1","Google","Promocional","6.61","4000000"
288,"Campanha 288","2021-10-06","2021-10-21","40521.24","Publico Alvo 4","não especificado","Divulgação","26.09","2000000"
289,"Campanha 289","2022-11-21","2022-12-17","23497.18","Publico Alvo 5","não especificado","Divulgação","29.16","6000000"
290,"Campanha 290","2024-10-29","2024-11-13","24143.77","Publico Alvo 1","Redes Sociais","Promocional","3.69","3000000"
291,"Campanha 291","2021-09-17","2021-10-10","75722.51","Publico Alvo 2","Redes Sociais","Divulgação","11.62","6000000"
292,"Campanha 292","2021-10-14","2021-10-28","33395.81","Publico Alvo 3","Google","não especificado","0.85","10000000"
293,"Campanha 293","2023-06-11","2023-06-17","81500.87","Publico Alvo 4","Google","Promocional","15.10","6000000"
294,"Campanha 294","2021-08-16","2021-09-09","82846.13","Publico Alvo 5","Sites de Notícias","Mais Seguidores","14.87","10000000"
295,"Campanha 295","2021-09-10","2021-09-27","43799.30","Publico Alvo 1","Redes Sociais","não especificado","22.98","8000000"
296,"Campanha 296","2025-05-18","2025-06-04","17808.37","Publico Alvo 2","Sites de Notícias","Promocional","13.19","1000000"
300,"Campanha 300","2021-06-03","2021-06-13","55320.26","Publico Alvo 1","não especificado","Mais Seguidores","14.24","10000000"
302,"Campanha 302","2021-07-12","2021-07-26","21112.98","Publico Alvo 3","Redes Sociais","não especificado","11.24","10000000"
303,"Campanha 303","2024-05-09","2024-05-10","86889.06","Publico Alvo 4","Sites de Notícias","Mais Seguidores","28.17","1000000"
304,"Campanha 304","2021-08-07","2021-08-21","61886.28","Publico Alvo 5","Google","Divulgação","22.56","6000000"
305,"Campanha 305","2021-06-21","2021-06-23","36045.99","Publico Alvo 1","Redes Sociais","Divulgação","19.84","3000000"
306,"Campanha 306","2021-08-19","2021-08-31","95221.12","Publico Alvo 2","Sites de Notícias","Divulgação","12.93","4000000"
307,"Campanha 307","2025-04-18","2025-04-30","38758.02","Publico Alvo 3","Sites de Notícias","não especificado","23.62","1000000"
312,"Campanha 312","2022-03-24","2022-03-26","35799.29","Publico Alvo 3","Redes Sociais","Mais Seguidores","2.52","10000000"
314,"Campanha 314","2025-04-06","2025-04-23","12268.58","Publico Alvo 5","Google","Divulgação","4.97","10000000"
315,"Campanha 315","2024-10-18","2024-10-29","32994.12","Publico Alvo 1","Google","Promocional","10.24","8000000"
317,"Campanha 317","2025-02-04","2025-02-13","59546.67","Publico Alvo 3","Sites de Notícias","Promocional","5.90","10000000"
318,"Campanha 318","2024-12-22","2025-01-21","11513.59","Publico Alvo 4","não especificado","Promocional","2.82","5000000"
